3575	Ahringer seq-SDQ3599_DPL1_N2_L3	3575_GSM706164_SRR192330.fastq.gz	/modencode/data/all_files/cele-raw-4/3575_GSM706164_SRR192330.fastq.gz	Cele_WS220	Histone-Modification	ChIP-seq	raw-seqfile_fastq	DPL-1	Developmental-Stage_L3 Larva;Temperature_20 degree celsius	ChIP-seq	all	input		Cele_WS220	modENCODE_3575	DPL-1;Developmental-Stage_L3;Temperature_20 degree celsius;ChIP-seq;Rep-1;input;Cele_WS220;modENCODE_3575.fastq	DPL-1;Developmental-Stage_L3;Temperature_20-degree-celsius;ChIP-seq;Rep-1;input;Cele_WS220;modENCODE_3575fastq;3575_GSM706164_SRR192330.fastq	DPL-1			L3		Temperature_20 degree celsius	Jason Lieb
3575	Ahringer seq-SDQ3599_DPL1_N2_L3	3575_GSM713149_SRR190696.fastq.gz	/modencode/data/all_files/cele-raw-4/3575_GSM713149_SRR190696.fastq.gz	Cele_WS220	Histone-Modification	ChIP-seq	raw-seqfile_fastq	DPL-1	Developmental-Stage_L3 Larva;Temperature_20 degree celsius	ChIP-seq	all	ChIP		Cele_WS220	modENCODE_3575	DPL-1;Developmental-Stage_L3;Temperature_20 degree celsius;ChIP-seq;Rep-1;ChIP;Cele_WS220;modENCODE_3575.fastq	DPL-1;Developmental-Stage_L3;Temperature_20-degree-celsius;ChIP-seq;Rep-1;ChIP;Cele_WS220;modENCODE_3575fastq;3575_GSM713149_SRR190696.fastq	DPL-1			L3		Temperature_20 degree celsius	Jason Lieb
3575	Ahringer seq-SDQ3599_DPL1_N2_L3	3575_GSM713150_SRR190697.fastq.gz	/modencode/data/all_files/cele-raw-4/3575_GSM713150_SRR190697.fastq.gz	Cele_WS220	Histone-Modification	ChIP-seq	raw-seqfile_fastq	DPL-1	Developmental-Stage_L3 Larva;Temperature_20 degree celsius	ChIP-seq	all	ChIP		Cele_WS220	modENCODE_3575	DPL-1;Developmental-Stage_L3;Temperature_20 degree celsius;ChIP-seq;Rep-1;ChIP;Cele_WS220;modENCODE_3575.fastq	DPL-1;Developmental-Stage_L3;Temperature_20-degree-celsius;ChIP-seq;Rep-1;ChIP;Cele_WS220;modENCODE_3575fastq;3575_GSM713150_SRR190697.fastq	DPL-1			L3		Temperature_20 degree celsius	Jason Lieb
3575	Ahringer seq-SDQ3599_DPL1_N2_L3	3575_seq-NA_N2_L3_1_mE1.fq.gz	/modencode/data/all_files/cele-raw-4/3575_seq-NA_N2_L3_1_mE1.fq.gz	Cele_WS220	Histone-Modification	ChIP-seq	raw-seqfile_fastq	DPL-1	Developmental-Stage_L3 Larva;Temperature_20 degree celsius	ChIP-seq	all	input		Cele_WS220	modENCODE_3575	DPL-1;Developmental-Stage_L3;Temperature_20 degree celsius;ChIP-seq;Rep-1;input;Cele_WS220;modENCODE_3575.fastq	DPL-1;Developmental-Stage_L3;Temperature_20-degree-celsius;ChIP-seq;Rep-1;input;Cele_WS220;modENCODE_3575fastq;3575_seq-NA_N2_L3_1_mE1.fastq	DPL-1			L3		Temperature_20 degree celsius	Jason Lieb
3575	Ahringer seq-SDQ3599_DPL1_N2_L3	3575_seq-NA_N2_L3_1_mE1_macs14_MACS_wiggle_cat.wig.gz	/modencode/data/all_files/cele-signal-2/3575_seq-NA_N2_L3_1_mE1_macs14_MACS_wiggle_cat.wig.gz	Cele_WS220	Histone-Modification	ChIP-seq	coverage-graph_wiggle	DPL-1	Developmental-Stage_L3 Larva;Temperature_20 degree celsius	ChIP-seq	all	input		Cele_WS220	modENCODE_3575	DPL-1;Developmental-Stage_L3;Temperature_20 degree celsius;ChIP-seq;Rep-1;input;Cele_WS220;modENCODE_3575.wiggle	DPL-1;Developmental-Stage_L3;Temperature_20-degree-celsius;ChIP-seq;Rep-1;input;Cele_WS220;modENCODE_3575wiggle;3575_seq-NA_N2_L3_1_mE1_macs14_MACS_wiggle_cat.wiggle	DPL-1			L3		Temperature_20 degree celsius	Jason Lieb
3575	Ahringer seq-SDQ3599_DPL1_N2_L3	3575_seq-NA_N2_L3_2.fq.gz	/modencode/data/all_files/cele-raw-4/3575_seq-NA_N2_L3_2.fq.gz	Cele_WS220	Histone-Modification	ChIP-seq	raw-seqfile_fastq	DPL-1	Developmental-Stage_L3 Larva;Temperature_20 degree celsius	ChIP-seq	all	input		Cele_WS220	modENCODE_3575	DPL-1;Developmental-Stage_L3;Temperature_20 degree celsius;ChIP-seq;Rep-1;input;Cele_WS220;modENCODE_3575.fastq	DPL-1;Developmental-Stage_L3;Temperature_20-degree-celsius;ChIP-seq;Rep-1;input;Cele_WS220;modENCODE_3575fastq;3575_seq-NA_N2_L3_2.fastq	DPL-1			L3		Temperature_20 degree celsius	Jason Lieb
3575	Ahringer seq-SDQ3599_DPL1_N2_L3	3575_seq-NA_N2_L3_2_macs14_MACS_wiggle_cat.wig.gz	/modencode/data/all_files/cele-signal-2/3575_seq-NA_N2_L3_2_macs14_MACS_wiggle_cat.wig.gz	Cele_WS220	Histone-Modification	ChIP-seq	coverage-graph_wiggle	DPL-1	Developmental-Stage_L3 Larva;Temperature_20 degree celsius	ChIP-seq	all	input		Cele_WS220	modENCODE_3575	DPL-1;Developmental-Stage_L3;Temperature_20 degree celsius;ChIP-seq;Rep-1;input;Cele_WS220;modENCODE_3575.wiggle	DPL-1;Developmental-Stage_L3;Temperature_20-degree-celsius;ChIP-seq;Rep-1;input;Cele_WS220;modENCODE_3575wiggle;3575_seq-NA_N2_L3_2_macs14_MACS_wiggle_cat.wiggle	DPL-1			L3		Temperature_20 degree celsius	Jason Lieb
3575	Ahringer seq-SDQ3599_DPL1_N2_L3	3575_seq-SDQ3599_DPL1_N2_L3_1+2_catted_macs14_peaks.gff3.gz	/modencode/data/all_files/cele-interpreted-2/3575_seq-SDQ3599_DPL1_N2_L3_1+2_catted_macs14_peaks.gff3.gz	Cele_WS220	Histone-Modification	ChIP-seq	computed-peaks_gff3	DPL-1	Developmental-Stage_L3 Larva;Temperature_20 degree celsius	ChIP-seq	all			Cele_WS220	modENCODE_3575	DPL-1;Developmental-Stage_L3;Temperature_20 degree celsius;ChIP-seq;Rep-1;Cele_WS220;modENCODE_3575.gff3	DPL-1;Developmental-Stage_L3;Temperature_20-degree-celsius;ChIP-seq;Rep-1;Cele_WS220;modENCODE_3575gff3;3575_seq-SDQ3599_DPL1_N2_L3_1+2_catted_macs14_peaks.gff3	DPL-1			L3		Temperature_20 degree celsius	Jason Lieb
3575	Ahringer seq-SDQ3599_DPL1_N2_L3	3575_seq-SDQ3599_DPL1_N2_L3_1.fq.gz	/modencode/data/all_files/cele-raw-4/3575_seq-SDQ3599_DPL1_N2_L3_1.fq.gz	Cele_WS220	Histone-Modification	ChIP-seq	raw-seqfile_fastq	DPL-1	Developmental-Stage_L3 Larva;Temperature_20 degree celsius	ChIP-seq	all	ChIP		Cele_WS220	modENCODE_3575	DPL-1;Developmental-Stage_L3;Temperature_20 degree celsius;ChIP-seq;Rep-1;ChIP;Cele_WS220;modENCODE_3575.fastq	DPL-1;Developmental-Stage_L3;Temperature_20-degree-celsius;ChIP-seq;Rep-1;ChIP;Cele_WS220;modENCODE_3575fastq;3575_seq-SDQ3599_DPL1_N2_L3_1.fastq	DPL-1			L3		Temperature_20 degree celsius	Jason Lieb
3575	Ahringer seq-SDQ3599_DPL1_N2_L3	3575_seq-SDQ3599_DPL1_N2_L3_1_macs14_peaks.gff3.gz	/modencode/data/all_files/cele-interpreted-2/3575_seq-SDQ3599_DPL1_N2_L3_1_macs14_peaks.gff3.gz	Cele_WS220	Histone-Modification	ChIP-seq	computed-peaks_gff3	DPL-1	Developmental-Stage_L3 Larva;Temperature_20 degree celsius	ChIP-seq	all			Cele_WS220	modENCODE_3575	DPL-1;Developmental-Stage_L3;Temperature_20 degree celsius;ChIP-seq;Rep-1;Cele_WS220;modENCODE_3575.gff3	DPL-1;Developmental-Stage_L3;Temperature_20-degree-celsius;ChIP-seq;Rep-1;Cele_WS220;modENCODE_3575gff3;3575_seq-SDQ3599_DPL1_N2_L3_1_macs14_peaks.gff3	DPL-1			L3		Temperature_20 degree celsius	Jason Lieb
3575	Ahringer seq-SDQ3599_DPL1_N2_L3	3575_seq-SDQ3599_DPL1_N2_L3_1_macs14_treat_afterfiting.wig.gz	/modencode/data/all_files/cele-signal-2/3575_seq-SDQ3599_DPL1_N2_L3_1_macs14_treat_afterfiting.wig.gz	Cele_WS220	Histone-Modification	ChIP-seq	coverage-graph_wiggle	DPL-1	Developmental-Stage_L3 Larva;Temperature_20 degree celsius	ChIP-seq	all	ChIP		Cele_WS220	modENCODE_3575	DPL-1;Developmental-Stage_L3;Temperature_20 degree celsius;ChIP-seq;Rep-1;ChIP;Cele_WS220;modENCODE_3575.wiggle	DPL-1;Developmental-Stage_L3;Temperature_20-degree-celsius;ChIP-seq;Rep-1;ChIP;Cele_WS220;modENCODE_3575wiggle;3575_seq-SDQ3599_DPL1_N2_L3_1_macs14_treat_afterfiting.wiggle	DPL-1			L3		Temperature_20 degree celsius	Jason Lieb
3575	Ahringer seq-SDQ3599_DPL1_N2_L3	3575_seq-SDQ3599_DPL1_N2_L3_2_catted.wig.gz	/modencode/data/all_files/cele-signal-2/3575_seq-SDQ3599_DPL1_N2_L3_2_catted.wig.gz	Cele_WS220	Histone-Modification	ChIP-seq	coverage-graph_wiggle	DPL-1	Developmental-Stage_L3 Larva;Temperature_20 degree celsius	ChIP-seq	all	ChIP		Cele_WS220	modENCODE_3575	DPL-1;Developmental-Stage_L3;Temperature_20 degree celsius;ChIP-seq;Rep-1;ChIP;Cele_WS220;modENCODE_3575.wiggle	DPL-1;Developmental-Stage_L3;Temperature_20-degree-celsius;ChIP-seq;Rep-1;ChIP;Cele_WS220;modENCODE_3575wiggle;3575_seq-SDQ3599_DPL1_N2_L3_2_catted.wiggle	DPL-1			L3		Temperature_20 degree celsius	Jason Lieb
3575	Ahringer seq-SDQ3599_DPL1_N2_L3	3575_seq-SDQ3599_DPL1_N2_L3_2.fq.gz	/modencode/data/all_files/cele-raw-4/3575_seq-SDQ3599_DPL1_N2_L3_2.fq.gz	Cele_WS220	Histone-Modification	ChIP-seq	raw-seqfile_fastq	DPL-1	Developmental-Stage_L3 Larva;Temperature_20 degree celsius	ChIP-seq	all	ChIP		Cele_WS220	modENCODE_3575	DPL-1;Developmental-Stage_L3;Temperature_20 degree celsius;ChIP-seq;Rep-1;ChIP;Cele_WS220;modENCODE_3575.fastq	DPL-1;Developmental-Stage_L3;Temperature_20-degree-celsius;ChIP-seq;Rep-1;ChIP;Cele_WS220;modENCODE_3575fastq;3575_seq-SDQ3599_DPL1_N2_L3_2.fastq	DPL-1			L3		Temperature_20 degree celsius	Jason Lieb
3575	Ahringer seq-SDQ3599_DPL1_N2_L3	3575_seq-SDQ3599_DPL1_N2_L3_2_macs14_peaks.gff3.gz	/modencode/data/all_files/cele-interpreted-2/3575_seq-SDQ3599_DPL1_N2_L3_2_macs14_peaks.gff3.gz	Cele_WS220	Histone-Modification	ChIP-seq	computed-peaks_gff3	DPL-1	Developmental-Stage_L3 Larva;Temperature_20 degree celsius	ChIP-seq	all			Cele_WS220	modENCODE_3575	DPL-1;Developmental-Stage_L3;Temperature_20 degree celsius;ChIP-seq;Rep-1;Cele_WS220;modENCODE_3575.gff3	DPL-1;Developmental-Stage_L3;Temperature_20-degree-celsius;ChIP-seq;Rep-1;Cele_WS220;modENCODE_3575gff3;3575_seq-SDQ3599_DPL1_N2_L3_2_macs14_peaks.gff3	DPL-1			L3		Temperature_20 degree celsius	Jason Lieb
3576	Ahringer seq-WA30534819_H3K4me3_N2_L3	3576_GSM706164_SRR192330.fastq.gz	/modencode/data/all_files/cele-raw-4/3576_GSM706164_SRR192330.fastq.gz	Cele_WS220	Histone-Modification	ChIP-seq	raw-seqfile_fastq	H3K4me3	Developmental-Stage_L3 Larva;Temperature_20 degree celsius	ChIP-seq	all	input		Cele_WS220	modENCODE_3576	H3K4me3;Developmental-Stage_L3;Temperature_20 degree celsius;ChIP-seq;Rep-1;input;Cele_WS220;modENCODE_3576.fastq	H3K4me3;Developmental-Stage_L3;Temperature_20-degree-celsius;ChIP-seq;Rep-1;input;Cele_WS220;modENCODE_3576fastq;3576_GSM706164_SRR192330.fastq	H3K4me3			L3		Temperature_20 degree celsius	Jason Lieb
3576	Ahringer seq-WA30534819_H3K4me3_N2_L3	3576_GSM706167_SRR190676.fastq.gz	/modencode/data/all_files/cele-raw-4/3576_GSM706167_SRR190676.fastq.gz	Cele_WS220	Histone-Modification	ChIP-seq	raw-seqfile_fastq	H3K4me3	Developmental-Stage_L3 Larva;Temperature_20 degree celsius	ChIP-seq	all	input		Cele_WS220	modENCODE_3576	H3K4me3;Developmental-Stage_L3;Temperature_20 degree celsius;ChIP-seq;Rep-1;input;Cele_WS220;modENCODE_3576.fastq	H3K4me3;Developmental-Stage_L3;Temperature_20-degree-celsius;ChIP-seq;Rep-1;input;Cele_WS220;modENCODE_3576fastq;3576_GSM706167_SRR190676.fastq	H3K4me3			L3		Temperature_20 degree celsius	Jason Lieb
3576	Ahringer seq-WA30534819_H3K4me3_N2_L3	3576_GSM713168_SRR190704.fastq.gz	/modencode/data/all_files/cele-raw-4/3576_GSM713168_SRR190704.fastq.gz	Cele_WS220	Histone-Modification	ChIP-seq	raw-seqfile_fastq	H3K4me3	Developmental-Stage_L3 Larva;Temperature_20 degree celsius	ChIP-seq	all	ChIP		Cele_WS220	modENCODE_3576	H3K4me3;Developmental-Stage_L3;Temperature_20 degree celsius;ChIP-seq;Rep-1;ChIP;Cele_WS220;modENCODE_3576.fastq	H3K4me3;Developmental-Stage_L3;Temperature_20-degree-celsius;ChIP-seq;Rep-1;ChIP;Cele_WS220;modENCODE_3576fastq;3576_GSM713168_SRR190704.fastq	H3K4me3			L3		Temperature_20 degree celsius	Jason Lieb
3576	Ahringer seq-WA30534819_H3K4me3_N2_L3	3576_GSM713169_SRR190705.fastq.gz	/modencode/data/all_files/cele-raw-4/3576_GSM713169_SRR190705.fastq.gz	Cele_WS220	Histone-Modification	ChIP-seq	raw-seqfile_fastq	H3K4me3	Developmental-Stage_L3 Larva;Temperature_20 degree celsius	ChIP-seq	all	ChIP		Cele_WS220	modENCODE_3576	H3K4me3;Developmental-Stage_L3;Temperature_20 degree celsius;ChIP-seq;Rep-1;ChIP;Cele_WS220;modENCODE_3576.fastq	H3K4me3;Developmental-Stage_L3;Temperature_20-degree-celsius;ChIP-seq;Rep-1;ChIP;Cele_WS220;modENCODE_3576fastq;3576_GSM713169_SRR190705.fastq	H3K4me3			L3		Temperature_20 degree celsius	Jason Lieb
3576	Ahringer seq-WA30534819_H3K4me3_N2_L3	3576_seq-NA_N2_L3_2.fq.gz	/modencode/data/all_files/cele-raw-4/3576_seq-NA_N2_L3_2.fq.gz	Cele_WS220	Histone-Modification	ChIP-seq	raw-seqfile_fastq	H3K4me3	Developmental-Stage_L3 Larva;Temperature_20 degree celsius	ChIP-seq	all	input		Cele_WS220	modENCODE_3576	H3K4me3;Developmental-Stage_L3;Temperature_20 degree celsius;ChIP-seq;Rep-1;input;Cele_WS220;modENCODE_3576.fastq	H3K4me3;Developmental-Stage_L3;Temperature_20-degree-celsius;ChIP-seq;Rep-1;input;Cele_WS220;modENCODE_3576fastq;3576_seq-NA_N2_L3_2.fastq	H3K4me3			L3		Temperature_20 degree celsius	Jason Lieb
3576	Ahringer seq-WA30534819_H3K4me3_N2_L3	3576_seq-NA_N2_L3_2_macs14_MACS_wiggle_cat.wig.gz	/modencode/data/all_files/cele-signal-2/3576_seq-NA_N2_L3_2_macs14_MACS_wiggle_cat.wig.gz	Cele_WS220	Histone-Modification	ChIP-seq	coverage-graph_wiggle	H3K4me3	Developmental-Stage_L3 Larva;Temperature_20 degree celsius	ChIP-seq	all	input		Cele_WS220	modENCODE_3576	H3K4me3;Developmental-Stage_L3;Temperature_20 degree celsius;ChIP-seq;Rep-1;input;Cele_WS220;modENCODE_3576.wiggle	H3K4me3;Developmental-Stage_L3;Temperature_20-degree-celsius;ChIP-seq;Rep-1;input;Cele_WS220;modENCODE_3576wiggle;3576_seq-NA_N2_L3_2_macs14_MACS_wiggle_cat.wiggle	H3K4me3			L3		Temperature_20 degree celsius	Jason Lieb
3576	Ahringer seq-WA30534819_H3K4me3_N2_L3	3576_seq-NA_N2_L3_IL-2.fq.gz	/modencode/data/all_files/cele-raw-4/3576_seq-NA_N2_L3_IL-2.fq.gz	Cele_WS220	Histone-Modification	ChIP-seq	raw-seqfile_fastq	H3K4me3	Developmental-Stage_L3 Larva;Temperature_20 degree celsius	ChIP-seq	all	input		Cele_WS220	modENCODE_3576	H3K4me3;Developmental-Stage_L3;Temperature_20 degree celsius;ChIP-seq;Rep-1;input;Cele_WS220;modENCODE_3576.fastq	H3K4me3;Developmental-Stage_L3;Temperature_20-degree-celsius;ChIP-seq;Rep-1;input;Cele_WS220;modENCODE_3576fastq;3576_seq-NA_N2_L3_IL-2.fastq	H3K4me3			L3		Temperature_20 degree celsius	Jason Lieb
3576	Ahringer seq-WA30534819_H3K4me3_N2_L3	3576_seq-NA_N2_L3_IL-2_macs14_MACS_wiggle_cat.wig.gz	/modencode/data/all_files/cele-signal-2/3576_seq-NA_N2_L3_IL-2_macs14_MACS_wiggle_cat.wig.gz	Cele_WS220	Histone-Modification	ChIP-seq	coverage-graph_wiggle	H3K4me3	Developmental-Stage_L3 Larva;Temperature_20 degree celsius	ChIP-seq	all	input		Cele_WS220	modENCODE_3576	H3K4me3;Developmental-Stage_L3;Temperature_20 degree celsius;ChIP-seq;Rep-1;input;Cele_WS220;modENCODE_3576.wiggle	H3K4me3;Developmental-Stage_L3;Temperature_20-degree-celsius;ChIP-seq;Rep-1;input;Cele_WS220;modENCODE_3576wiggle;3576_seq-NA_N2_L3_IL-2_macs14_MACS_wiggle_cat.wiggle	H3K4me3			L3		Temperature_20 degree celsius	Jason Lieb
3576	Ahringer seq-WA30534819_H3K4me3_N2_L3	3576_seq-WA30534819_H3K4me3_N2_L3_1.fq.gz	/modencode/data/all_files/cele-raw-4/3576_seq-WA30534819_H3K4me3_N2_L3_1.fq.gz	Cele_WS220	Histone-Modification	ChIP-seq	raw-seqfile_fastq	H3K4me3	Developmental-Stage_L3 Larva;Temperature_20 degree celsius	ChIP-seq	all	ChIP		Cele_WS220	modENCODE_3576	H3K4me3;Developmental-Stage_L3;Temperature_20 degree celsius;ChIP-seq;Rep-1;ChIP;Cele_WS220;modENCODE_3576.fastq	H3K4me3;Developmental-Stage_L3;Temperature_20-degree-celsius;ChIP-seq;Rep-1;ChIP;Cele_WS220;modENCODE_3576fastq;3576_seq-WA30534819_H3K4me3_N2_L3_1.fastq	H3K4me3			L3		Temperature_20 degree celsius	Jason Lieb
3576	Ahringer seq-WA30534819_H3K4me3_N2_L3	3576_seq-WA30534819_H3K4me3_N2_L3_1_macs14_MACS_wiggle_cat.wig.gz	/modencode/data/all_files/cele-signal-2/3576_seq-WA30534819_H3K4me3_N2_L3_1_macs14_MACS_wiggle_cat.wig.gz	Cele_WS220	Histone-Modification	ChIP-seq	coverage-graph_wiggle	H3K4me3	Developmental-Stage_L3 Larva;Temperature_20 degree celsius	ChIP-seq	all	ChIP		Cele_WS220	modENCODE_3576	H3K4me3;Developmental-Stage_L3;Temperature_20 degree celsius;ChIP-seq;Rep-1;ChIP;Cele_WS220;modENCODE_3576.wiggle	H3K4me3;Developmental-Stage_L3;Temperature_20-degree-celsius;ChIP-seq;Rep-1;ChIP;Cele_WS220;modENCODE_3576wiggle;3576_seq-WA30534819_H3K4me3_N2_L3_1_macs14_MACS_wiggle_cat.wiggle	H3K4me3			L3		Temperature_20 degree celsius	Jason Lieb
3576	Ahringer seq-WA30534819_H3K4me3_N2_L3	3576_seq-WA30534819_H3K4me3_N2_L3_1_macs14_peaks.gff3.gz	/modencode/data/all_files/cele-interpreted-2/3576_seq-WA30534819_H3K4me3_N2_L3_1_macs14_peaks.gff3.gz	Cele_WS220	Histone-Modification	ChIP-seq	computed-peaks_gff3	H3K4me3	Developmental-Stage_L3 Larva;Temperature_20 degree celsius	ChIP-seq	all			Cele_WS220	modENCODE_3576	H3K4me3;Developmental-Stage_L3;Temperature_20 degree celsius;ChIP-seq;Rep-1;Cele_WS220;modENCODE_3576.gff3	H3K4me3;Developmental-Stage_L3;Temperature_20-degree-celsius;ChIP-seq;Rep-1;Cele_WS220;modENCODE_3576gff3;3576_seq-WA30534819_H3K4me3_N2_L3_1_macs14_peaks.gff3	H3K4me3			L3		Temperature_20 degree celsius	Jason Lieb
3576	Ahringer seq-WA30534819_H3K4me3_N2_L3	3576_seq-WA30534819_H3K4me3_N2_L3_2.fq.gz	/modencode/data/all_files/cele-raw-4/3576_seq-WA30534819_H3K4me3_N2_L3_2.fq.gz	Cele_WS220	Histone-Modification	ChIP-seq	raw-seqfile_fastq	H3K4me3	Developmental-Stage_L3 Larva;Temperature_20 degree celsius	ChIP-seq	all	ChIP		Cele_WS220	modENCODE_3576	H3K4me3;Developmental-Stage_L3;Temperature_20 degree celsius;ChIP-seq;Rep-1;ChIP;Cele_WS220;modENCODE_3576.fastq	H3K4me3;Developmental-Stage_L3;Temperature_20-degree-celsius;ChIP-seq;Rep-1;ChIP;Cele_WS220;modENCODE_3576fastq;3576_seq-WA30534819_H3K4me3_N2_L3_2.fastq	H3K4me3			L3		Temperature_20 degree celsius	Jason Lieb
3576	Ahringer seq-WA30534819_H3K4me3_N2_L3	3576_seq-WA30534819_H3K4me3_N2_L3_2_macs14_MACS_wiggle_cat.wig.gz	/modencode/data/all_files/cele-signal-2/3576_seq-WA30534819_H3K4me3_N2_L3_2_macs14_MACS_wiggle_cat.wig.gz	Cele_WS220	Histone-Modification	ChIP-seq	coverage-graph_wiggle	H3K4me3	Developmental-Stage_L3 Larva;Temperature_20 degree celsius	ChIP-seq	all	ChIP		Cele_WS220	modENCODE_3576	H3K4me3;Developmental-Stage_L3;Temperature_20 degree celsius;ChIP-seq;Rep-1;ChIP;Cele_WS220;modENCODE_3576.wiggle	H3K4me3;Developmental-Stage_L3;Temperature_20-degree-celsius;ChIP-seq;Rep-1;ChIP;Cele_WS220;modENCODE_3576wiggle;3576_seq-WA30534819_H3K4me3_N2_L3_2_macs14_MACS_wiggle_cat.wiggle	H3K4me3			L3		Temperature_20 degree celsius	Jason Lieb
3576	Ahringer seq-WA30534819_H3K4me3_N2_L3	3576_seq-WA30534819_H3K4me3_N2_L3_2_macs14_peaks.gff3.gz	/modencode/data/all_files/cele-interpreted-2/3576_seq-WA30534819_H3K4me3_N2_L3_2_macs14_peaks.gff3.gz	Cele_WS220	Histone-Modification	ChIP-seq	computed-peaks_gff3	H3K4me3	Developmental-Stage_L3 Larva;Temperature_20 degree celsius	ChIP-seq	all			Cele_WS220	modENCODE_3576	H3K4me3;Developmental-Stage_L3;Temperature_20 degree celsius;ChIP-seq;Rep-1;Cele_WS220;modENCODE_3576.gff3	H3K4me3;Developmental-Stage_L3;Temperature_20-degree-celsius;ChIP-seq;Rep-1;Cele_WS220;modENCODE_3576gff3;3576_seq-WA30534819_H3K4me3_N2_L3_2_macs14_peaks.gff3	H3K4me3			L3		Temperature_20 degree celsius	Jason Lieb
3576	Ahringer seq-WA30534819_H3K4me3_N2_L3	3576_seq-WA30534819_H3K4me3_N2_L3_catted_peaks.gff3.gz	/modencode/data/all_files/cele-interpreted-2/3576_seq-WA30534819_H3K4me3_N2_L3_catted_peaks.gff3.gz	Cele_WS220	Histone-Modification	ChIP-seq	computed-peaks_gff3	H3K4me3	Developmental-Stage_L3 Larva;Temperature_20 degree celsius	ChIP-seq	all			Cele_WS220	modENCODE_3576	H3K4me3;Developmental-Stage_L3;Temperature_20 degree celsius;ChIP-seq;Rep-1;Cele_WS220;modENCODE_3576.gff3	H3K4me3;Developmental-Stage_L3;Temperature_20-degree-celsius;ChIP-seq;Rep-1;Cele_WS220;modENCODE_3576gff3;3576_seq-WA30534819_H3K4me3_N2_L3_catted_peaks.gff3	H3K4me3			L3		Temperature_20 degree celsius	Jason Lieb
3577	Ahringer seq-SDQ3590_EFL1_N2_L3	3577_GSM706161_SRR190660.fastq.gz	/modencode/data/all_files/cele-raw-4/3577_GSM706161_SRR190660.fastq.gz	Cele_WS220	Histone-Modification	ChIP-seq	raw-seqfile_fastq	EFL-1	Developmental-Stage_L3 Larva;Temperature_20 degree celsius	ChIP-seq	all	input		Cele_WS220	modENCODE_3577	EFL-1;Developmental-Stage_L3;Temperature_20 degree celsius;ChIP-seq;Rep-1;input;Cele_WS220;modENCODE_3577.fastq	EFL-1;Developmental-Stage_L3;Temperature_20-degree-celsius;ChIP-seq;Rep-1;input;Cele_WS220;modENCODE_3577fastq;3577_GSM706161_SRR190660.fastq	EFL-1			L3		Temperature_20 degree celsius	Jason Lieb
3577	Ahringer seq-SDQ3590_EFL1_N2_L3	3577_GSM706164_SRR192330.fastq.gz	/modencode/data/all_files/cele-raw-4/3577_GSM706164_SRR192330.fastq.gz	Cele_WS220	Histone-Modification	ChIP-seq	raw-seqfile_fastq	EFL-1	Developmental-Stage_L3 Larva;Temperature_20 degree celsius	ChIP-seq	all	input		Cele_WS220	modENCODE_3577	EFL-1;Developmental-Stage_L3;Temperature_20 degree celsius;ChIP-seq;Rep-1;input;Cele_WS220;modENCODE_3577.fastq	EFL-1;Developmental-Stage_L3;Temperature_20-degree-celsius;ChIP-seq;Rep-1;input;Cele_WS220;modENCODE_3577fastq;3577_GSM706164_SRR192330.fastq	EFL-1			L3		Temperature_20 degree celsius	Jason Lieb
3577	Ahringer seq-SDQ3590_EFL1_N2_L3	3577_GSM713147_SRR190692.fastq.gz	/modencode/data/all_files/cele-raw-4/3577_GSM713147_SRR190692.fastq.gz	Cele_WS220	Histone-Modification	ChIP-seq	raw-seqfile_fastq	EFL-1	Developmental-Stage_L3 Larva;Temperature_20 degree celsius	ChIP-seq	all	ChIP		Cele_WS220	modENCODE_3577	EFL-1;Developmental-Stage_L3;Temperature_20 degree celsius;ChIP-seq;Rep-1;ChIP;Cele_WS220;modENCODE_3577.fastq	EFL-1;Developmental-Stage_L3;Temperature_20-degree-celsius;ChIP-seq;Rep-1;ChIP;Cele_WS220;modENCODE_3577fastq;3577_GSM713147_SRR190692.fastq	EFL-1			L3		Temperature_20 degree celsius	Jason Lieb
3577	Ahringer seq-SDQ3590_EFL1_N2_L3	3577_GSM713148_SRR190693.fastq.gz	/modencode/data/all_files/cele-raw-4/3577_GSM713148_SRR190693.fastq.gz	Cele_WS220	Histone-Modification	ChIP-seq	raw-seqfile_fastq	EFL-1	Developmental-Stage_L3 Larva;Temperature_20 degree celsius	ChIP-seq	all	ChIP		Cele_WS220	modENCODE_3577	EFL-1;Developmental-Stage_L3;Temperature_20 degree celsius;ChIP-seq;Rep-1;ChIP;Cele_WS220;modENCODE_3577.fastq	EFL-1;Developmental-Stage_L3;Temperature_20-degree-celsius;ChIP-seq;Rep-1;ChIP;Cele_WS220;modENCODE_3577fastq;3577_GSM713148_SRR190693.fastq	EFL-1			L3		Temperature_20 degree celsius	Jason Lieb
